0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:11 +0900] "GET /gtg/login/loginHome.do HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:14 +0900] "POST /gtg/login/loginCheck.do HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:16 +0900] "GET /gtg/admin/adminHome.do HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:20 +0900] "GET /gtg/board/boardHome.do HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:20 +0900] "GET /gtg/board/bpage.do?cnt=1&pcnt=3.5 HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:21 +0900] "GET /gtg/board/bcontent.do HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:25 +0900] "GET /gtg/board/boardinsert.do?bname=ad&bpw=ad&bcontent=ad HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:25 +0900] "GET /gtg/board/boardHome.do HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:25 +0900] "GET /gtg/board/bpage.do?cnt=1&pcnt=3.6 HTTP/1.1" 200 6435
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:28 +0900] "GET /gtg/board/bpage.do?cnt=2&pcnt=3 HTTP/1.1" 200 6476
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:30 +0900] "GET /gtg/board/bdetail.do?bid=admin&bname=ad HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:37 +0900] "GET /gtg/board/bcontent.do HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:41 +0900] "GET /gtg/board/boardinsert.do?bname=ada&bpw=ddd&bcontent=ddddd HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:41 +0900] "GET /gtg/board/boardHome.do HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:41 +0900] "GET /gtg/board/bpage.do?cnt=1&pcnt=3.7 HTTP/1.1" 200 6469
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:45 +0900] "GET /gtg/board/adminHome.do HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:50 +0900] "GET /gtg/board/adminHome.do HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:55 +0900] "GET /gtg/login/mypage.do HTTP/1.1" 200 2635
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:43:57 +0900] "GET /gtg/login/adminHome.do HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:44:28 +0900] "GET /gtg/login/mypage.do HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:44:29 +0900] "GET /gtg/admin/adminHome.do HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:44:37 +0900] "GET /gtg/admin/adpage.do?cnt=1&pcnt=2.6 HTTP/1.1" 200 9042
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:44:44 +0900] "GET /gtg/admin/adupdateform.do?userId=010101&name=2 HTTP/1.1" 200 2662
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:44:49 +0900] "GET /gtg/admin/adpage.do?cnt=2&pcnt=2 HTTP/1.1" 200 6255
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:44:50 +0900] "GET /gtg/admin/adpage.do?cnt=1&pcnt=2 HTTP/1.1" 200 9042
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:44:56 +0900] "GET /gtg/board/boardHome.do HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:44:56 +0900] "GET /gtg/board/bpage.do?cnt=1&pcnt=3.7 HTTP/1.1" 200 6485
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:45:10 +0900] "GET /gtg/board/bdel.do?bid=d&bname=d HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:45:10 +0900] "GET /gtg/board/boardHome.do HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:45:10 +0900] "GET /gtg/board/bpage.do?cnt=1&pcnt=3.6 HTTP/1.1" 200 6473
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:45:16 +0900] "GET /gtg/board/bdel.do?bid=&bname= HTTP/1.1" 200 1805
